State Name,value
Andhra Pradesh,65.6
Arunachal Pradesh,79.9
Assam,84.9
Bihar,64.7
Chhattisgarh,74.1
Goa,88.9
Gujarat,80.7
Haryana,77.3
Himachal Pradesh,84.2
Jharkhand,67.3
Karnataka,75.7
Kerala,94.6
Madhya Pradesh,70.5
Maharashtra,80.3
Manipur,85.6
Meghalaya,91.4
Mizoram,98.5
Nagaland,93.8
Odisha,72.5
Punjab,79.4
Rajasthan,67.1
Sikkim,86.2
Tamil Nadu,80.7
Telangana,67.4
Tripura,89.9
Uttar Pradesh,68.2
Uttarakhand,79
West Bengal,79
Andaman and Nicobar Islands,88.3
Chandigarh,89.1
Dadra and Nagar Haveli,83
Delhi,86.4
Jammu and Kashmir,76.4
Lakshadweep,95.7
Puducherry,89.5
